CODE,CATEGORY
52985000000,RX_ACE
10544000000,RX_LOOP_DIURETIC
75921000000,RX_BBLOCKER
55289000000,RX_THIAZIDE
54697000000,RX_THIAZIDE
58016000000,
58016000000,RX_BBLOCKER
58016000000,
51655000000,RX_ACE
247190400,RX_ACE
182183101,RX_ACE
615138339,RX_BBLOCKER
46708000000,
60505000000,RX_THIAZIDE
63629000000,RX_ACE
46042262,RX_BBLOCKER
47003132,RX_ACE
57664000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
71335000000,RX_ACE
490712860,
60312000000,RX_ACE
60312000000,RX_BBLOCKER
19458000000,RX_BBLOCKER
58016000000,RX_LOOP_DIURETIC
55155000000,RX_ACE
13411000000,RX_ACE
68789000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
723124630,RX_LOOP_DIURETIC
62559000000,RX_BBLOCKER
51079000000,RX_ACE
68789000000,
26053000000,RX_THIAZIDE
70518000000,RX_ACE
52125000000,RX_LOOP_DIURETIC
52125000000,RX_LOOP_DIURETIC
228270611,RX_ACE
70518000000,RX_BBLOCKER
70518000000,
555042805,RX_BBLOCKER
58016000000,
440723290,
349207098,RX_BBLOCKER
58016000000,RX_ACE
50436000000,RX_BBLOCKER
23155000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
55155000000,RX_THIAZIDE
904563761,RX_DIGOXIN
66336000000,
43063000000,RX_BBLOCKER
49884000000,RX_LOOP_DIURETIC
172423446,RX_THIAZIDE
68071000000,RX_BBLOCKER
677136601,RX_BBLOCKER
54868000000,RX_BBLOCKER
254356636,RX_NITRATES
58016000000,RX_NITRATES
781141701,RX_NITRATES
781166801,RX_ACE
53467000000,RX_BBLOCKER
54868000000,RX_ACE
54869000000,RX_ACE
58016000000,RX_LOOP_DIURETIC
12634000000,RX_ACE
33261000000,
54570000000,RX_BBLOCKER
33261000000,RX_THIAZIDE
102184501,RX_BBLOCKER
35356000000,
51813000000,RX_LOOP_DIURETIC
57867000000,RX_BBLOCKER
60429000000,RX_BBLOCKER
46045581,RX_BBLOCKER
47044032,RX_LOOP_DIURETIC
63629000000,RX_ACE
723516030,RX_BBLOCKER
54868000000,
58118000000,RX_BBLOCKER
490709599,RX_BBLOCKER
54869000000,
615791805,RX_THIAZIDE
480729505,RX_BBLOCKER
185011450,RX_THIAZIDE
185005610,RX_BBLOCKER
12280000000,RX_ACE
51991000000,RX_BBLOCKER
68071000000,RX_BBLOCKER
71610000000,RX_NITRATES
51079000000,RX_THIAZIDE
68001000000,RX_BBLOCKER
26053000000,RX_THIAZIDE
33358000000,
67544000000,RX_NITRATES
71335000000,RX_BBLOCKER
536457610,
64980000000,RX_BBLOCKER
440555160,RX_BBLOCKER
60758000000,RX_BBLOCKER
16714000000,
55045000000,RX_ACE
53506000000,RX_NITRATES
58016000000,
68382000000,RX_BBLOCKER
71335000000,RX_NITRATES
67544000000,
281032608,RX_BBLOCKER
55289000000,RX_THIAZIDE
591557603,RX_BBLOCKER
71610000000,
58016000000,RX_ACE
59115000000,RX_ACE
43063000000,RX_THIAZIDE
223107001,RX_BBLOCKER
51655000000,RX_THIAZIDE
57267000000,RX_ACE
10544000000,RX_BBLOCKER
59773000000,RX_BBLOCKER
62332000000,RX_ACE
254317128,RX_BBLOCKER
58016000000,RX_THIAZIDE
17224000000,RX_BBLOCKER
615156039,RX_ACE
54869000000,RX_ACE
68789000000,RX_DIGOXIN
378303377,RX_ACE
87278832,RX_THIAZIDE
49856000000,RX_ACE
58016000000,RX_BBLOCKER
47679000000,RX_BBLOCKER
60429000000,RX_NITRATES
58864000000,RX_THIAZIDE
58016000000,
16729000000,RX_THIAZIDE
71457935,RX_ACE
61919000000,RX_THIAZIDE
50090000000,RX_THIAZIDE
58118000000,RX_ACE
19458000000,RX_THIAZIDE
63630000000,RX_LOOP_DIURETIC
63629000000,RX_THIAZIDE
68001000000,RX_BBLOCKER
42543000000,RX_BBLOCKER
65862000000,RX_THIAZIDE
43063000000,RX_DIGOXIN
67877000000,RX_BBLOCKER
59912000000,RX_THIAZIDE
51660000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
58016000000,
51129000000,RX_ACE
51129000000,RX_ACE
65243000000,RX_THIAZIDE
42291000000,RX_NITRATES
52189000000,RX_BBLOCKER
52213000000,RX_BBLOCKER
39010610,RX_ACE
55289000000,RX_ACE
58016000000,RX_BBLOCKER
65243000000,RX_BBLOCKER
719141013,RX_ACE
52959000000,RX_ACE
54868000000,RX_ACE
55567000000,RX_BBLOCKER
54697000000,
13107000000,
62175000000,RX_ACE
10009000000,RX_THIAZIDE
10019000000,RX_ACE
64725000000,RX_ACE
677104105,RX_ACE
68789000000,RX_NITRATES
